,Longitude,Latitude,Value
901,120.87,23.169999999999998,7.7
902,120.9,23.169999999999998,2.6
903,120.93,23.169999999999998,9.3
904,120.96,23.169999999999998,8.9
905,120.99,23.169999999999998,12.7
906,121.02,23.169999999999998,20.2
907,121.05,23.169999999999998,16.4
908,121.08,23.169999999999998,12.8
909,121.11,23.169999999999998,17.7
910,121.14,23.169999999999998,13.9
911,121.17,23.169999999999998,20.2
912,121.2,23.169999999999998,18.8
913,121.23,23.169999999999998,24.1
914,121.26,23.169999999999998,24.0
915,121.29,23.169999999999998,21.3
916,121.32,23.169999999999998,16.0
917,121.35,23.169999999999998,17.2
918,121.38,23.169999999999998,22.7
